mtu_name,pt_idx,pt_type,attached_body,loc_in_body_x,loc_in_body_y,loc_in_body_z
mtu1,1,origin,link1,0.025,0.1,0
mtu1,2,viapoint,link1,0.025,-0.058,0
mtu1,3,viapoint,link1,0.025,-0.0999999999,0
mtu1,4,viapoint,link2,0.025,0.0999999999,0
mtu1,5,viapoint,link2,0.025,-0.0999999999,0
mtu1,6,insertion,link3,0.025,0.1,0
mtu2,1,origin,link1,0.025,0.1,0
mtu2,2,viapoint,link1,0.025,-0.058,0
mtu2,3,viapoint,link1,0.025,-0.1,0
mtu2,4,viapoint,link2,0.025,0.1,0
mtu2,5,viapoint,link2,0.025,-0.1,0
mtu2,6,viapoint,link3,0.025,0.1,0
mtu2,7,viapoint,link3,0.025,-0.1,0
mtu2,8,viapoint,link4,0.025,0.1,0
mtu2,9,viapoint,link4,0.025,-0.1,0
mtu2,10,viapoint,link5,0.025,0.1,0
mtu2,11,viapoint,link5,0.025,-0.1,0
mtu2,12,viapoint,link6,0.025,0.1,0
mtu2,13,viapoint,link6,0.025,-0.1,0
mtu2,14,viapoint,link7,0.025,0.1,0
mtu2,15,viapoint,link7,0.025,-0.1,0
mtu2,16,insertion,link8,0.025,0.1,0
