ligament_name,pt_idx,pt_type,attached_body,loc_in_body_x,loc_in_body_y,loc_in_body_z
group1_ligament1,1,origin,float1,0,0,0
group1_ligament1,2,viapoint,link1,0.025,-0.1,0
group1_ligament1,3,viapoint,link2,0.025,0.1,0
group1_ligament1,4,viapoint,link2,0.025,-0.1,0
group1_ligament1,5,viapoint,link3,0.025,0.1,0
group1_ligament1,6,viapoint,link3,0.025,-0.1,0
group1_ligament1,7,viapoint,link4,0.025,0.1,0
group1_ligament1,8,viapoint,link4,0.025,-0.1,0
group1_ligament1,9,viapoint,link5,0.025,0.1,0
group1_ligament1,10,viapoint,link5,0.025,-0.1,0
group1_ligament1,11,viapoint,link6,0.025,0.1,0
group1_ligament1,12,viapoint,link6,0.025,-0.1,0
group1_ligament1,13,viapoint,link7,0.025,0.1,0
group1_ligament1,14,viapoint,link7,0.025,-0.1,0
group1_ligament1,15,insertion,link8,0.025,0.1,0
group1_ligament2,1,origin,float1,0,0,0
group1_ligament2,2,viapoint,link1,0.025,-0.0999999999,0
group1_ligament2,3,insertion,link2,0.025,0.1,0
