mtu_name,pt_idx,pt_type,attached_body,loc_in_body_x,loc_in_body_y,loc_in_body_z
mtu1,1,origin,link1,0.025,0.1,0
mtu1,2,viapoint,link1,0.025,-0.058,0
mtu1,3,viapoint,link1,0.025,-0.0999999999,0
mtu1,4,insertion,link2,0.025,0.1,0
mtu2,1,origin,link1,0.025,0.1,0
mtu2,2,viapoint,link1,0.025,-0.058,0
mtu2,3,viapoint,link1,0.025,-0.1,0
mtu2,4,viapoint,link2,0.025,0.1,0
mtu2,5,viapoint,link2,0.025,-0.058,0
mtu2,6,viapoint,link2,0.025,-0.0999999999,0
mtu2,7,insertion,link3,0.025,0.1,0
mtu3,1,origin,link1,0.025,0.1,0
mtu3,2,viapoint,link1,0.025,-0.058,0
mtu3,3,viapoint,link1,0.025,-0.1,0
mtu3,4,viapoint,link2,0.025,0.1,0
mtu3,5,viapoint,link2,0.025,-0.058,0
mtu3,6,viapoint,link2,0.025,-0.1,0
mtu3,7,viapoint,link3,0.025,0.1,0
mtu3,8,viapoint,link3,0.025,-0.058,0
mtu3,9,viapoint,link3,0.025,-0.0999999999,0
mtu3,10,insertion,link4,0.025,0.1,0
mtu4,1,origin,link1,0.025,0.1,0
mtu4,2,viapoint,link1,0.025,-0.058,0
mtu4,3,viapoint,link1,0.025,-0.1,0
mtu4,4,viapoint,link2,0.025,0.1,0
mtu4,5,viapoint,link2,0.025,-0.058,0
mtu4,6,viapoint,link2,0.025,-0.1,0
mtu4,7,viapoint,link3,0.025,0.1,0
mtu4,8,viapoint,link3,0.025,-0.058,0
mtu4,9,viapoint,link3,0.025,-0.1,0
mtu4,10,viapoint,link4,0.025,0.1,0
mtu4,11,viapoint,link4,0.025,-0.058,0
mtu4,12,viapoint,link4,0.025,-0.0999999999,0
mtu4,13,insertion,link5,0.025,0.1,0
mtu5,1,origin,link1,0.025,0.1,0
mtu5,2,viapoint,link1,0.025,-0.058,0
mtu5,3,viapoint,link1,0.025,-0.1,0
mtu5,4,viapoint,link2,0.025,0.1,0
mtu5,5,viapoint,link2,0.025,-0.058,0
mtu5,6,viapoint,link2,0.025,-0.1,0
mtu5,7,viapoint,link3,0.025,0.1,0
mtu5,8,viapoint,link3,0.025,-0.058,0
mtu5,9,viapoint,link3,0.025,-0.1,0
mtu5,10,viapoint,link4,0.025,0.1,0
mtu5,11,viapoint,link4,0.025,-0.058,0
mtu5,12,viapoint,link4,0.025,-0.1,0
mtu5,13,viapoint,link5,0.025,0.1,0
mtu5,14,viapoint,link5,0.025,-0.058,0
mtu5,15,viapoint,link5,0.025,-0.1,0
mtu5,16,viapoint,link6,0.025,0.1,0
mtu5,17,viapoint,link6,0.025,-0.058,0
mtu5,18,viapoint,link6,0.025,-0.1,0
mtu5,19,viapoint,link7,0.025,0.1,0
mtu5,20,viapoint,link7,0.025,-0.058,0
mtu5,21,viapoint,link7,0.025,-0.0999999999,0
mtu5,22,insertion,link8,0.025,0.1,0
